customer_id,age,annual_income,city,signup_date,newsletter_subscriber,customer_feedback
CUST-1000,40.67860833924088,67450.0,Los Angeles!,12/25/2022,YES,
CUST-1001,36.0,56856.121326461405,Los Angeles!,2023-01-15,YES,"Average product, does the job but nothing special."
CUST-1002,45.0,93345.0,New York,07-04-2023,YES,"I really like the new dark mode design, it is much easier on the eyes."
CUST-1003,35.0,55418.0754913363,chicago,"Oct 12, 2021",YES,Absolutely amazing value for the price!
CUST-1004,36.18865028114466,56487.0,New Yrok,07-04-2023,n,"Average product, does the job but nothing special."
CUST-1005,56.0,85617.03802896352,Los Angeles!,"Oct 12, 2021",YES,Excellent user experience! Will buy again.
CUST-1006,47.0,72674.62551283758,SF,invalid_date_xyz,YES,"I really like the new dark mode design, it is much easier on the eyes."
CUST-1007,32.0,59138.0,San Fran,2024/05/01,no,Absolutely amazing value for the price!
CUST-1008,32.0,44014.0,houston,invalid_date_xyz,YES,Excellent user experience! Will buy again.
CUST-1009,40.0,34300.0,chicago,2023-01-15,y,Absolutely amazing value for the price!
CUST-1010,18.0,21565.0,chicago,07-04-2023,YES,Worst service ever. App crashes continuously on startup.
GEN_ID_1783054115_11,25.0,45213.0,,12/25/2022,False,Absolutely amazing value for the price!
CUST-1012,19.197417046059563,15000.0,L.A.,"Oct 12, 2021",no,Worst service ever. App crashes continuously on startup.
CUST-1013,21.0,56484.0,San Fran,07-04-2023,,"I really like the new dark mode design, it is much easier on the eyes."
CUST-1014,36.24025428692046,56613.0,Los Angeles!,12/25/2022,y,Customer support was incredibly slow and unhelpful.
CUST-1015,38.0,38628.0,San Fran,"Feb 28, 2024",no,"Average product, does the job but nothing special."
CUST-1016,31.0,51163.0,New York,12/25/2022,no,Customer support was incredibly slow and unhelpful.
CUST-1017,24.0,44635.0,New Yrok,12/25/2022,,Absolutely amazing value for the price!
GEN_ID_1783054115_18,33.93732314027493,50990.0,Los Angeles!,"Feb 28, 2024",YES,Worst service ever. App crashes continuously on startup.
CUST-1019,34.0,44974.0,houston,2023-01-15,YES,Excellent user experience! Will buy again.
CUST-1020,60.0,92797.0,,2024/05/01,no,Customer support was incredibly slow and unhelpful.
CUST-1021,25.0,52838.0,san francisco,07-04-2023,no,"Average product, does the job but nothing special."
CUST-1022,23.0,40632.0,chicago,12/25/2022,,"I really like the new dark mode design, it is much easier on the eyes."
CUST-1023,25.58812265023118,30604.0,chicago,"Oct 12, 2021",YES,"I really like the new dark mode design, it is much easier on the eyes."
